YEAR,STATE,COUNTY,total_population,total_white,total_free_black,total_slave
1850,Illinois,Crawford,7135,7118,17,0
1850,Illinois,Cumberland,3718,3718,0,0
1850,Illinois,DeKalb,7540,7539,1,0
1850,Illinois,De Witt,5002,5001,1,0
1850,Illinois,Dupage,9290,9287,3,0
1850,Illinois,Edgar,10692,10640,52,0
1850,Illinois,Edwards,3524,3490,34,0
1850,Illinois,Effingham,3799,3792,7,0
1850,Illinois,Fayette,8075,8027,48,0
1850,Illinois,Franklin,5681,5646,35,0
1850,Illinois,Fulton,22508,22492,16,0
1850,Illinois,Gallatin,5448,5095,353,0
1850,Illinois,Greene,12429,12369,60,0
1850,Illinois,Grundy,3023,3021,2,0
1850,Illinois,Hamilton,6362,6310,52,0
1850,Illinois,Hancock,14652,14633,19,0
1850,Illinois,Hardin,2887,2808,79,0
1850,Illinois,Henderson,4612,4610,2,0
1850,Illinois,Henry,3807,3807,0,0
1850,Illinois,Iroquois,4149,4070,79,0
1850,Illinois,Jackson,5862,5829,33,0
1850,Illinois,Jasper,3220,3206,14,0
1850,Illinois,Jefferson,8109,8083,26,0
1850,Illinois,Jersey,7354,7300,54,0
1850,Illinois,Jo Daviess,18604,18386,218,0
1850,Illinois,Johnson,4114,4097,17,0
1850,Illinois,Kane,16703,16697,6,0
1850,Illinois,Kendall,7730,7724,6,0
1850,Illinois,Knox,13279,13197,82,0
1850,Illinois,Lake,14226,14187,39,0
1850,Illinois,La Salle,17815,17799,16,0
1850,Illinois,Lawrence,6121,5843,278,0
1850,Illinois,Lee,5292,5288,4,0
1850,Illinois,Livingston,1552,1552,0,0
1850,Illinois,Logan,5128,5128,0,0
1850,Illinois,McDonough,7616,7611,5,0
1850,Illinois,McHenry,14978,14975,3,0
1850,Illinois,McLean,10163,10121,42,0
1850,Illinois,Macon,3988,3985,3,0
1850,Illinois,Macoupin,12355,12272,83,0
1850,Illinois,Madison,20441,19992,449,0
1850,Illinois,Marion,6720,6716,4,0
1850,Illinois,Marshall,5180,5178,2,0
1850,Illinois,Mason,5921,5898,23,0
