GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G0600370,1870,California,60,Los Angeles,370,Los Angeles,15309
G0600410,1870,California,60,Marin,410,Marin,6903
G0600430,1870,California,60,Mariposa,430,Mariposa,4572
G0600450,1870,California,60,Mendocino,450,Mendocino,7545
G0600470,1870,California,60,Merced,470,Merced,2807
G0600510,1870,California,60,Mono,510,Mono,430
G0600530,1870,California,60,Monterey,530,Monterey,9876
G0600550,1870,California,60,Napa,550,Napa,7163
G0600570,1870,California,60,Nevada,570,Nevada,19134
G0600610,1870,California,60,Placer,610,Placer,11357
G0600630,1870,California,60,Plumas,630,Plumas,4489
G0600670,1870,California,60,Sacramento,670,Sacramento,26830
G0600710,1870,California,60,San Bernardino,710,San Bernardino,3988
G0600730,1870,California,60,San Diego,730,San Diego,4951
G0600750,1870,California,60,San Francisco,750,San Francisco,149473
G0600770,1870,California,60,San Joaquin,770,San Joaquin,21050
G0600790,1870,California,60,San Luis Obispo,790,San Luis Obispo,4772
G0600810,1870,California,60,San Mateo,810,San Mateo,6635
G0600830,1870,California,60,Santa Barbara,830,Santa Barbara,7784
G0600850,1870,California,60,Santa Clara,850,Santa Clara,26246
G0600870,1870,California,60,Santa Cruz,870,Santa Cruz,8743
G0600890,1870,California,60,Shasta,890,Shasta,4173
G0600910,1870,California,60,Sierra,910,Sierra,5619
G0600930,1870,California,60,Siskiyou,930,Siskiyou,6848
G0600950,1870,California,60,Solano,950,Solano,16871
G0600970,1870,California,60,Sonoma,970,Sonoma,19819
G0600990,1870,California,60,Stanislaus,990,Stanislaus,6499
G0601010,1870,California,60,Sutter,1010,Sutter,5030
G0601030,1870,California,60,Tehama,1030,Tehama,3587
G0601050,1870,California,60,Trinity,1050,Trinity,3213
G0601070,1870,California,60,Tulare,1070,Tulare,4533
G0601090,1870,California,60,Tuolumne,1090,Tuolumne,8150
G0601130,1870,California,60,Yolo,1130,Yolo,9899
G0601150,1870,California,60,Yuba,1150,Yuba,10851
G0850015,1870,Colorado Territory,85,Arapahoe,15,Arapahoe,6829
G0850035,1870,Colorado Territory,85,Bent,35,Bent,592
G0850055,1870,Colorado Territory,85,Boulder,55,Boulder,1939
G0850075,1870,Colorado Territory,85,Clear Creek,75,Clear Creek,1596
G0850095,1870,Colorado Territory,85,Conejos,95,Conejos,2504
G0850115,1870,Colorado Territory,85,Costilla,115,Costilla,1779
G0850135,1870,Colorado Territory,85,Douglas,135,Douglas,1388
G0850155,1870,Colorado Territory,85,El Paso,155,El Paso,987
G0850175,1870,Colorado Territory,85,Fremont,175,Fremont,1064
G0850195,1870,Colorado Territory,85,Gilpin,195,Gilpin,5490
G0850215,1870,Colorado Territory,85,Greenwood,215,Greenwood,510
G0850235,1870,Colorado Territory,85,Huerfano,235,Huerfano,2250
G0850255,1870,Colorado Territory,85,Jefferson,255,Jefferson,2390
G0850275,1870,Colorado Territory,85,Lake,275,Lake,522
G0850295,1870,Colorado Territory,85,Larimer,295,Larimer,838
G0850315,1870,Colorado Territory,85,Las Animas,315,Las Animas,4276
G0850335,1870,Colorado Territory,85,Park,335,Park,447
G0850355,1870,Colorado Territory,85,Pueblo,355,Pueblo,2265
G0850375,1870,Colorado Territory,85,Saguache,375,Saguache,304
G0850395,1870,Colorado Territory,85,Summit,395,Summit,258
G0850415,1870,Colorado Territory,85,Weld,415,Weld,1636
G0900010,1870,Connecticut,90,Fairfield,10,Fairfield,95276
G0900030,1870,Connecticut,90,Hartford,30,Hartford,109007
G0900050,1870,Connecticut,90,Litchfield,50,Litchfield,48727
G0900070,1870,Connecticut,90,Middlesex,70,Middlesex,36099
G0900090,1870,Connecticut,90,New Haven,90,New Haven,121257
G0900110,1870,Connecticut,90,New London,110,New London,66570
G0900130,1870,Connecticut,90,Tolland,130,Tolland,22000
G0900150,1870,Connecticut,90,Windham,150,Windham,38518
G0950075,1870,Dakota Territory,95,Bon Homme,75,Bon Homme,608
G0950135,1870,Dakota Territory,95,Brookings,135,Brookings,163
G0950195,1870,Dakota Territory,95,Buffalo,195,Buffalo,246
G0950295,1870,Dakota Territory,95,Charles Mix,295,Charles Mix,152
G0950355,1870,Dakota Territory,95,Clay,355,Clay,2621
G0950495,1870,Dakota Territory,95,Deuel,495,Deuel,37
G0950815,1870,Dakota Territory,95,Hutchinson,815,Hutchinson,37
G0950855,1870,Dakota Territory,95,Jayne,855,Jayne,5
G0950975,1870,Dakota Territory,95,Lincoln,975,Lincoln,712
G0951195,1870,Dakota Territory,95,Minnehaha,1195,Minnehaha,355
G0951275,1870,Dakota Territory,95,Pembina,1275,Pembina,1213
G0951655,1870,Dakota Territory,95,Todd,1655,Todd,337
G0951735,1870,Dakota Territory,95,Union,1735,Union,3507
G0951755,1870,Dakota Territory,95,Unorganized Territory,1755,Unorganized Territory,2091
G0951855,1870,Dakota Territory,95,Yankton,1855,Yankton,2097
G1000010,1870,Delaware,100,Kent,10,Kent,29804
G1000030,1870,Delaware,100,New Castle,30,New Castle,63515
G1000050,1870,Delaware,100,Sussex,50,Sussex,31696
G1100010,1870,District Of Columbia,110,District Of Columbia,10,District Of Columbia,131700
G1200010,1870,Florida,120,Alachua,10,Alachua,17328
G1200030,1870,Florida,120,Baker,30,Baker,1325
G1200070,1870,Florida,120,Bradford,70,Bradford,3671
G1200090,1870,Florida,120,Brevard,90,Brevard,1216
G1200130,1870,Florida,120,Calhoun,130,Calhoun,998
G1200190,1870,Florida,120,Clay,190,Clay,2098
G1200230,1870,Florida,120,Columbia,230,Columbia,7335
G1200250,1870,Florida,120,Dade,250,Dade,85
G1200310,1870,Florida,120,Duval,310,Duval,11921
G1200330,1870,Florida,120,Escambia,330,Escambia,7817
G1200370,1870,Florida,120,Franklin,370,Franklin,1256
G1200390,1870,Florida,120,Gadsden,390,Gadsden,9802
G1200470,1870,Florida,120,Hamilton,470,Hamilton,5749
G1200530,1870,Florida,120,Hernando,530,Hernando,2938
G1200570,1870,Florida,120,Hillsborough,570,Hillsborough,3216
G1200590,1870,Florida,120,Holmes,590,Holmes,1572
G1200630,1870,Florida,120,Jackson,630,Jackson,9528
G1200650,1870,Florida,120,Jefferson,650,Jefferson,13398
G1200670,1870,Florida,120,Lafayette,670,Lafayette,1783
G1200730,1870,Florida,120,Leon,730,Leon,15236
G1200750,1870,Florida,120,Levy,750,Levy,2018
G1200770,1870,Florida,120,Liberty,770,Liberty,1050
G1200790,1870,Florida,120,Madison,790,Madison,11121
G1200810,1870,Florida,120,Manatee,810,Manatee,1931
G1200830,1870,Florida,120,Marion,830,Marion,10804
G1200870,1870,Florida,120,Monroe,870,Monroe,5657
G1200890,1870,Florida,120,Nassau,890,Nassau,4247
G1200950,1870,Florida,120,Orange,950,Orange,2195
G1201050,1870,Florida,120,Polk,1050,Polk,3169
G1201070,1870,Florida,120,Putnam,1070,Putnam,3821
G1201090,1870,Florida,120,St Johns,1090,St Johns,2618
G1201130,1870,Florida,120,Santa Rosa,1130,Santa Rosa,3312
G1201190,1870,Florida,120,Sumter,1190,Sumter,2952
G1201210,1870,Florida,120,Suwannee,1210,Suwannee,3556
G1201230,1870,Florida,120,Taylor,1230,Taylor,1453
G1201270,1870,Florida,120,Volusia,1270,Volusia,1723
G1201290,1870,Florida,120,Wakulla,1290,Wakulla,2506
G1201310,1870,Florida,120,Walton,1310,Walton,3041
G1201330,1870,Florida,120,Washington,1330,Washington,2302
G1300010,1870,Georgia,130,Appling,10,Appling,5086
G1300070,1870,Georgia,130,Baker,70,Baker,6843
G1300090,1870,Georgia,130,Baldwin,90,Baldwin,10618
G1300110,1870,Georgia,130,Banks,110,Banks,4973
G1300150,1870,Georgia,130,Bartow,150,Bartow,16566
G1300190,1870,Georgia,130,Berrien,190,Berrien,4518
G1300210,1870,Georgia,130,Bibb,210,Bibb,21255
G1300270,1870,Georgia,130,Brooks,270,Brooks,8342
G1300290,1870,Georgia,130,Bryan,290,Bryan,5252
G1300310,1870,Georgia,130,Bulloch,310,Bulloch,5610
G1300330,1870,Georgia,130,Burke,330,Burke,17679
G1300350,1870,Georgia,130,Butts,350,Butts,6941
G1300370,1870,Georgia,130,Calhoun,370,Calhoun,5503
G1300390,1870,Georgia,130,Camden,390,Camden,4615
G1300395,1870,Georgia,130,Campbell,395,Campbell,9176
G1300450,1870,Georgia,130,Carroll,450,Carroll,11782
G1300470,1870,Georgia,130,Catoosa,470,Catoosa,4409
G1300490,1870,Georgia,130,Charlton,490,Charlton,1897
G1300510,1870,Georgia,130,Chatham,510,Chatham,41279
G1300530,1870,Georgia,130,Chattahoochee,530,Chattahoochee,6059
G1300550,1870,Georgia,130,Chattooga,550,Chattooga,6902
G1300570,1870,Georgia,130,Cherokee,570,Cherokee,10399
G1300590,1870,Georgia,130,Clarke,590,Clarke,12941
G1300610,1870,Georgia,130,Clay,610,Clay,5493
G1300630,1870,Georgia,130,Clayton,630,Clayton,5477
G1300650,1870,Georgia,130,Clinch,650,Clinch,3945
G1300670,1870,Georgia,130,Cobb,670,Cobb,13814
G1300690,1870,Georgia,130,Coffee,690,Coffee,3192
G1300710,1870,Georgia,130,Colquitt,710,Colquitt,1654
G1300730,1870,Georgia,130,Columbia,730,Columbia,13529
G1300770,1870,Georgia,130,Coweta,770,Coweta,15875
G1300790,1870,Georgia,130,Crawford,790,Crawford,7557
