YEAR,STATE,COUNTY,total_population
1870,Georgia,Columbia,13529
1870,Georgia,Coweta,15875
1870,Georgia,Crawford,7557
1870,Georgia,Dade,3033
1870,Georgia,Dawson,4369
1870,Georgia,Decatur,15183
1870,Georgia,DeKalb,10014
1870,Georgia,Dooly,9790
1870,Georgia,Dougherty,11517
1870,Georgia,Early,6998
1870,Georgia,Echols,1978
1870,Georgia,Effingham,4214
1870,Georgia,Elbert,9249
1870,Georgia,Emanuel,6134
1870,Georgia,Fannin,5429
1870,Georgia,Fayette,8221
1870,Georgia,Floyd,17230
1870,Georgia,Forsyth,7983
1870,Georgia,Franklin,7893
1870,Georgia,Fulton,33446
1870,Georgia,Gilmer,6644
1870,Georgia,Glascock,2736
1870,Georgia,Glynn,5376
1870,Georgia,Gordon,9268
1870,Georgia,Greene,12454
1870,Georgia,Gwinnett,12431
1870,Georgia,Habersham,6322
1870,Georgia,Hall,9607
1870,Georgia,Hancock,11317
1870,Georgia,Haralson,4004
1870,Georgia,Harris,13284
1870,Georgia,Hart,6783
1870,Georgia,Heard,7866
1870,Georgia,Henry,10102
1870,Georgia,Houston,20406
1870,Georgia,Irwin,1837
1870,Georgia,Jackson,11181
1870,Georgia,Jasper,10439
1870,Georgia,Jefferson,12190
1870,Georgia,Johnson,2964
1870,Georgia,Jones,9436
1870,Georgia,Laurens,7834
1870,Georgia,Lee,9567
1870,Georgia,Liberty,7688
1870,Georgia,Lincoln,5413
1870,Georgia,Lowndes,8321
1870,Georgia,Lumpkin,5161
1870,Georgia,McIntosh,4491
1870,Georgia,Macon,11458
1870,Georgia,Madison,5227
1870,Georgia,Marion,8000
1870,Georgia,Meriwether,13756
1870,Georgia,Miller,3091
1870,Georgia,Milton,4284
1870,Georgia,Mitchell,6633
1870,Georgia,Monroe,17213
1870,Georgia,Montgomery,3586
1870,Georgia,Morgan,10696
1870,Georgia,Murray,6500
1870,Georgia,Muscogee,16663
1870,Georgia,Newton,14615
1870,Georgia,Oglethorpe,11782
1870,Georgia,Paulding,7639
1870,Georgia,Pickens,5317
1870,Georgia,Pierce,2778
1870,Georgia,Pike,10905
1870,Georgia,Polk,7822
1870,Georgia,Pulaski,11940
1870,Georgia,Putnam,10461
1870,Georgia,Quitman,4150
1870,Georgia,Rabun,3256
1870,Georgia,Randolph,10561
1870,Georgia,Richmond,25724
1870,Georgia,Schley,5129
1870,Georgia,Screven,9175
1870,Georgia,Spalding,10205
1870,Georgia,Stewart,14204
1870,Georgia,Sumter,16559
1870,Georgia,Talbot,11913
1870,Georgia,Taliaferro,4796
1870,Georgia,Tattnall,4860
1870,Georgia,Taylor,7143
1870,Georgia,Telfair,3245
1870,Georgia,Terrell,9053
1870,Georgia,Thomas,14523
1870,Georgia,Towns,2780
1870,Georgia,Troup,17632
1870,Georgia,Twiggs,8545
1870,Georgia,Union,5267
1870,Georgia,Upson,9430
1870,Georgia,Walker,9925
1870,Georgia,Walton,11038
1870,Georgia,Ware,2286
1870,Georgia,Warren,10545
1870,Georgia,Washington,15842
1870,Georgia,Wayne,2177
1870,Georgia,Webster,4677
1870,Georgia,White,4606
1870,Georgia,Whitfield,10117
1870,Georgia,Wilcox,2439
1870,Georgia,Wilkes,11796
1870,Georgia,Wilkinson,9383
1870,Georgia,Worth,3778
1870,Idaho Territory,Ada,2675
1870,Idaho Territory,Alturas,689
1870,Idaho Territory,Boise,3834
1870,Idaho Territory,Idaho,849
1870,Idaho Territory,Lemhi,988
1870,Idaho Territory,Nez Perce,1607
1870,Idaho Territory,Oneida,1922
1870,Idaho Territory,Owyhee,1713
1870,Idaho Territory,Shoshone,722
1870,Illinois,Adams,56362
1870,Illinois,Alexander,10564
1870,Illinois,Bond,13152
1870,Illinois,Boone,12942
1870,Illinois,Brown,12205
1870,Illinois,Bureau,32415
1870,Illinois,Calhoun,6562
1870,Illinois,Carroll,16705
1870,Illinois,Cass,11580
1870,Illinois,Champaign,32737
1870,Illinois,Christian,20363
1870,Illinois,Clark,18719
1870,Illinois,Clay,15875
1870,Illinois,Clinton,16285
1870,Illinois,Coles,25235
1870,Illinois,Cook,349966
1870,Illinois,Crawford,13889
1870,Illinois,Cumberland,12223
1870,Illinois,DeKalb,23265
1870,Illinois,De Witt,14768
1870,Illinois,Douglas,13484
1870,Illinois,Dupage,16685
1870,Illinois,Edgar,21450
1870,Illinois,Edwards,7565
1870,Illinois,Effingham,15653
1870,Illinois,Fayette,19638
1870,Illinois,Ford,9103
1870,Illinois,Franklin,12652
1870,Illinois,Fulton,38291
1870,Illinois,Gallatin,11134
1870,Illinois,Greene,20277
1870,Illinois,Grundy,14938
1870,Illinois,Hamilton,13014
1870,Illinois,Hancock,35935
1870,Illinois,Hardin,5113
1870,Illinois,Henderson,12582
1870,Illinois,Henry,35506
1870,Illinois,Iroquois,25782
1870,Illinois,Jackson,19634
1870,Illinois,Jasper,11234
1870,Illinois,Jefferson,17864
1870,Illinois,Jersey,15054
1870,Illinois,Jo Daviess,27820
1870,Illinois,Johnson,11248
1870,Illinois,Kane,39091
1870,Illinois,Kankakee,24352
1870,Illinois,Kendall,12399
1870,Illinois,Knox,39522
1870,Illinois,Lake,21014
1870,Illinois,La Salle,60792
1870,Illinois,Lawrence,12533
1870,Illinois,Lee,27171
1870,Illinois,Livingston,31471
1870,Illinois,Logan,23053
1870,Illinois,McDonough,26509
1870,Illinois,McHenry,23762
1870,Illinois,McLean,53988
1870,Illinois,Macon,26481
1870,Illinois,Macoupin,32726
1870,Illinois,Madison,44131
1870,Illinois,Marion,20622
1870,Illinois,Marshall,16956
1870,Illinois,Mason,16184
1870,Illinois,Massac,9581
1870,Illinois,Menard,11735
1870,Illinois,Mercer,18769
1870,Illinois,Monroe,12982
1870,Illinois,Montgomery,25314
1870,Illinois,Morgan,28463
1870,Illinois,Moultrie,10385
1870,Illinois,Ogle,27492
1870,Illinois,Peoria,47540
1870,Illinois,Perry,13723
1870,Illinois,Piatt,10953
1870,Illinois,Pike,30768
1870,Illinois,Pope,11437
1870,Illinois,Pulaski,8752
1870,Illinois,Putnam,6280
1870,Illinois,Randolph,20859
1870,Illinois,Richland,12803
1870,Illinois,Rock Island,29783
1870,Illinois,St Clair,51068
1870,Illinois,Saline,12714
1870,Illinois,Sangamon,46352
1870,Illinois,Schuyler,17419
1870,Illinois,Scott,10530
1870,Illinois,Shelby,25476
1870,Illinois,Stark,10751
1870,Illinois,Stephenson,30608
1870,Illinois,Tazewell,27903
1870,Illinois,Union,16518
1870,Illinois,Vermilion,30388
1870,Illinois,Wabash,8841
1870,Illinois,Warren,23174
1870,Illinois,Washington,17599
1870,Illinois,Wayne,19758
1870,Illinois,White,16846
1870,Illinois,Whiteside,27503
1870,Illinois,Will,43013
1870,Illinois,Williamson,17329
1870,Illinois,Winnebago,29301
1870,Illinois,Woodford,18956
1870,Indiana,Adams,11382
1870,Indiana,Allen,43494
1870,Indiana,Bartholomew,21133
1870,Indiana,Benton,5615
1870,Indiana,Blackford,6272
1870,Indiana,Boone,22593
1870,Indiana,Brown,8681
1870,Indiana,Carroll,16152
1870,Indiana,Cass,24193
1870,Indiana,Clark,24770
1870,Indiana,Clay,19084
1870,Indiana,Clinton,17330
1870,Indiana,Crawford,9851
1870,Indiana,Daviess,16747
1870,Indiana,Dearborn,24116
1870,Indiana,Decatur,19053
1870,Indiana,DeKalb,17167
1870,Indiana,Delaware,19030
1870,Indiana,Dubois,12597
1870,Indiana,Elkhart,26026
1870,Indiana,Fayette,10476
1870,Indiana,Floyd,23300
1870,Indiana,Fountain,16389
1870,Indiana,Franklin,20223
1870,Indiana,Fulton,12726
1870,Indiana,Gibson,17371
1870,Indiana,Grant,18487
1870,Indiana,Greene,19514
1870,Indiana,Hamilton,20882
1870,Indiana,Hancock,15123
1870,Indiana,Harrison,19913
1870,Indiana,Hendricks,20277
1870,Indiana,Henry,22986
1870,Indiana,Howard,15847
1870,Indiana,Huntington,19036
1870,Indiana,Jackson,18974
1870,Indiana,Jasper,6354
1870,Indiana,Jay,15000
1870,Indiana,Jefferson,29741
1870,Indiana,Jennings,16218
1870,Indiana,Johnson,18366
1870,Indiana,Knox,21562
1870,Indiana,Kosciusko,23531
1870,Indiana,Lagrange,14148
1870,Indiana,Lake,12339
1870,Indiana,LaPorte,27062
1870,Indiana,Lawrence,14628
1870,Indiana,Madison,22770
1870,Indiana,Marion,71939
1870,Indiana,Marshall,20211
1870,Indiana,Martin,11103
1870,Indiana,Miami,21052
1870,Indiana,Monroe,14168
1870,Indiana,Montgomery,23765
1870,Indiana,Morgan,17528
1870,Indiana,Newton,5829
1870,Indiana,Noble,20389
1870,Indiana,Ohio,5837
1870,Indiana,Orange,13497
1870,Indiana,Owen,16137
1870,Indiana,Parke,18166
1870,Indiana,Perry,14801
1870,Indiana,Pike,13779
1870,Indiana,Porter,13942
1870,Indiana,Posey,19185
1870,Indiana,Pulaski,7801
1870,Indiana,Putnam,21514
1870,Indiana,Randolph,22862
1870,Indiana,Ripley,20977
1870,Indiana,Rush,17626
1870,Indiana,St Joseph,25322
1870,Indiana,Scott,7873
1870,Indiana,Shelby,21892
1870,Indiana,Spencer,17998
1870,Indiana,Starke,3888
1870,Indiana,Steuben,12854
1870,Indiana,Sullivan,18453
1870,Indiana,Switzerland,12134
1870,Indiana,Tippecanoe,33515
1870,Indiana,Tipton,11953
1870,Indiana,Union,6341
1870,Indiana,Vanderburgh,33145
1870,Indiana,Vermillion,10840
1870,Indiana,Vigo,33549
1870,Indiana,Wabash,21305
1870,Indiana,Warren,10204
1870,Indiana,Warrick,17653
1870,Indiana,Washington,18495
1870,Indiana,Wayne,34048
1870,Indiana,Wells,13585
1870,Indiana,White,10554
1870,Indiana,Whitley,14399
1870,Iowa,Adair,3982
1870,Iowa,Adams,4614
1870,Iowa,Allamakee,17868
1870,Iowa,Appanoose,16456
1870,Iowa,Audubon,1212
1870,Iowa,Benton,22454
1870,Iowa,Black Hawk,21706
1870,Iowa,Boone,14584
1870,Iowa,Bremer,12528
1870,Iowa,Buchanan,17034
1870,Iowa,Buena Vista,1585
1870,Iowa,Butler,9951
1870,Iowa,Calhoun,1602
1870,Iowa,Carroll,2451
1870,Iowa,Cass,5464
1870,Iowa,Cedar,19731
1870,Iowa,Cerro Gordo,4722
1870,Iowa,Cherokee,1967
1870,Iowa,Chickasaw,10180
1870,Iowa,Clarke,8735
1870,Iowa,Clay,1523
1870,Iowa,Clayton,27771
1870,Iowa,Clinton,35357
1870,Iowa,Crawford,2530
1870,Iowa,Dallas,12019
1870,Iowa,Davis,15565
1870,Iowa,Decatur,12018
1870,Iowa,Delaware,17432
1870,Iowa,Des Moines,27256
1870,Iowa,Dickinson,1389
1870,Iowa,Dubuque,38969
1870,Iowa,Emmet,1392
1870,Iowa,Fayette,16973
1870,Iowa,Floyd,10768
1870,Iowa,Franklin,4738
1870,Iowa,Fremont,11174
1870,Iowa,Greene,4627
1870,Iowa,Grundy,6399
1870,Iowa,Guthrie,7061
1870,Iowa,Hamilton,6055
1870,Iowa,Hancock,999
1870,Iowa,Hardin,13684
1870,Iowa,Harrison,8931
1870,Iowa,Henry,21463
1870,Iowa,Howard,6282
1870,Iowa,Humboldt,2596
1870,Iowa,Ida,226
1870,Iowa,Iowa,16644
1870,Iowa,Jackson,22619
1870,Iowa,Jasper,22116
1870,Iowa,Jefferson,17839
1870,Iowa,Johnson,24898
1870,Iowa,Jones,19731
1870,Iowa,Keokuk,19434
1870,Iowa,Kossuth,3351
1870,Iowa,Lee,37210
1870,Iowa,Linn,31080
1870,Iowa,Louisa,12877
1870,Iowa,Lucas,10388
1870,Iowa,Lyon,221
1870,Iowa,Madison,13884
1870,Iowa,Mahaska,22508
1870,Iowa,Marion,24436
1870,Iowa,Marshall,17576
1870,Iowa,Mills,8718
1870,Iowa,Mitchell,9582
1870,Iowa,Monona,3654
1870,Iowa,Monroe,12724
1870,Iowa,Montgomery,5934
1870,Iowa,Muscatine,21688
1870,Iowa,O Brien,715
1870,Iowa,Osceola,
1870,Iowa,Page,9975
1870,Iowa,Palo Alto,1336
1870,Iowa,Plymouth,2199
1870,Iowa,Pocahontas,1446
1870,Iowa,Polk,27857
1870,Iowa,Pottawattamie,16893
1870,Iowa,Poweshiek,15581
1870,Iowa,Ringgold,5691
1870,Iowa,Sac,1411
1870,Iowa,Scott,38599
1870,Iowa,Shelby,2540
1870,Iowa,Sioux,576
1870,Iowa,Story,11651
1870,Iowa,Tama,16131
1870,Iowa,Taylor,6989
1870,Iowa,Union,5986
1870,Iowa,Van Buren,17672
1870,Iowa,Wapello,22346
1870,Iowa,Warren,17980
1870,Iowa,Washington,18952
1870,Iowa,Wayne,11287
1870,Iowa,Webster,10484
1870,Iowa,Winnebago,1562
1870,Iowa,Winneshiek,23570
1870,Iowa,Woodbury,6172
1870,Iowa,Worth,2892
1870,Iowa,Wright,2392
1870,Kansas,Allen,7022
1870,Kansas,Anderson,5220
1870,Kansas,Atchison,15507
1870,Kansas,Barton,2
1870,Kansas,Bourbon,15076
1870,Kansas,Brown,6823
1870,Kansas,Butler,3035
1870,Kansas,Chase,1975
1870,Kansas,Cherokee,11038
1870,Kansas,Clay,2942
1870,Kansas,Cloud,2323
1870,Kansas,Coffey,6201
1870,Kansas,Cowley,1175
1870,Kansas,Crawford,8160
1870,Kansas,Davis,5526
1870,Kansas,Dickinson,3043
1870,Kansas,Doniphan,13969
1870,Kansas,Douglas,20592
1870,Kansas,Ellis,1336
1870,Kansas,Ellsworth,1185
1870,Kansas,Ford,427
1870,Kansas,Franklin,10385
1870,Kansas,Greenwood,3484
1870,Kansas,Howard,2794
1870,Kansas,Jackson,6053
1870,Kansas,Jefferson,12526
1870,Kansas,Jewell,207
1870,Kansas,Johnson,13684
1870,Kansas,Labette,9973
1870,Kansas,Leavenworth,32444
1870,Kansas,Lincoln,516
1870,Kansas,Linn,12174
1870,Kansas,Lyon,8014
1870,Kansas,McPherson,738
1870,Kansas,Marion,768
1870,Kansas,Marshall,6901
1870,Kansas,Miami,11725
1870,Kansas,Mitchell,485
1870,Kansas,Montgomery,7564
1870,Kansas,Morris,2225
1870,Kansas,Nemaha,7339
1870,Kansas,Neosho,10206
1870,Kansas,Ness,2
1870,Kansas,Osage,7648
1870,Kansas,Osborne,33
1870,Kansas,Ottawa,2127
1870,Kansas,Pawnee,179
1870,Kansas,Pottawatomie,7848
1870,Kansas,Republic,1281
1870,Kansas,Rice,5
1870,Kansas,Riley,5105
1870,Kansas,Russell,156
1870,Kansas,Saline,4246
1870,Kansas,Sedgwick,1095
1870,Kansas,Shawnee,13121
1870,Kansas,Smith,66
1870,Kansas,Sumner,22
1870,Kansas,Trego,166
1870,Kansas,Wabaunsee,3362
1870,Kansas,Wallace,538
1870,Kansas,Washington,4081
1870,Kansas,Wilson,6694
1870,Kansas,Woodson,3827
1870,Kansas,Wyandotte,10015
1870,Kentucky,Adair,11065
1870,Kentucky,Allen,10296
1870,Kentucky,Anderson,5449
1870,Kentucky,Ballard,12576
1870,Kentucky,Barren,17780
1870,Kentucky,Bath,10145
1870,Kentucky,Boone,10696
1870,Kentucky,Bourbon,14863
1870,Kentucky,Boyd,8573
1870,Kentucky,Boyle,9515
1870,Kentucky,Bracken,11409
1870,Kentucky,Breathitt,5672
1870,Kentucky,Breckinridge,13440
1870,Kentucky,Bullitt,7781
1870,Kentucky,Butler,9404
1870,Kentucky,Caldwell,10826
1870,Kentucky,Calloway,9410
1870,Kentucky,Campbell,27406
1870,Kentucky,Carroll,6189
1870,Kentucky,Carter,7509
1870,Kentucky,Casey,8884
1870,Kentucky,Christian,23227
1870,Kentucky,Clark,10882
1870,Kentucky,Clay,8297
1870,Kentucky,Clinton,6497
1870,Kentucky,Crittenden,9381
1870,Kentucky,Cumberland,7690
1870,Kentucky,Daviess,20714
1870,Kentucky,Edmonson,4459
1870,Kentucky,Elliott,4433
1870,Kentucky,Estill,9198
1870,Kentucky,Fayette,26656
1870,Kentucky,Fleming,13398
1870,Kentucky,Floyd,7877
1870,Kentucky,Franklin,15300
1870,Kentucky,Fulton,6161
1870,Kentucky,Gallatin,5074
1870,Kentucky,Garrard,10376
1870,Kentucky,Grant,9529
1870,Kentucky,Graves,19398
1870,Kentucky,Grayson,11580
1870,Kentucky,Green,9379
1870,Kentucky,Greenup,11463
1870,Kentucky,Hancock,6591
1870,Kentucky,Hardin,15705
1870,Kentucky,Harlan,4415
1870,Kentucky,Harrison,12993
1870,Kentucky,Hart,13687
1870,Kentucky,Henderson,18457
1870,Kentucky,Henry,11066
1870,Kentucky,Hickman,8453
1870,Kentucky,Hopkins,13827
1870,Kentucky,Jackson,4547
1870,Kentucky,Jefferson,118953
1870,Kentucky,Jessamine,8638
1870,Kentucky,Johnson,7494
1870,Kentucky,Josh Bell,3731
1870,Kentucky,Kenton,36096
1870,Kentucky,Knox,8294
1870,Kentucky,Larue,8235
1870,Kentucky,Laurel,6016
1870,Kentucky,Lawrence,8497
1870,Kentucky,Lee,3055
1870,Kentucky,Letcher,4608
1870,Kentucky,Lewis,9115
1870,Kentucky,Lincoln,10947
1870,Kentucky,Livingston,8200
1870,Kentucky,Logan,20429
1870,Kentucky,Lyon,6233
1870,Kentucky,McCracken,13988
1870,Kentucky,McLean,7614
1870,Kentucky,Madison,19543
1870,Kentucky,Magoffin,4684
1870,Kentucky,Marion,12838
1870,Kentucky,Marshall,9455
1870,Kentucky,Mason,18126
1870,Kentucky,Meade,9485
1870,Kentucky,Menifee,1986
1870,Kentucky,Mercer,13144
1870,Kentucky,Metcalfe,7934
1870,Kentucky,Monroe,9231
1870,Kentucky,Montgomery,7557
1870,Kentucky,Morgan,5975
1870,Kentucky,Muhlenberg,12638
1870,Kentucky,Nelson,14804
1870,Kentucky,Nicholas,9129
1870,Kentucky,Ohio,15561
1870,Kentucky,Oldham,9027
1870,Kentucky,Owen,14309
1870,Kentucky,Owsley,3889
1870,Kentucky,Pendleton,14030
1870,Kentucky,Perry,4274
1870,Kentucky,Pike,9562
1870,Kentucky,Powell,2599
1870,Kentucky,Pulaski,17670
1870,Kentucky,Robertson,5399
1870,Kentucky,Rockcastle,7145
1870,Kentucky,Rowan,2991
1870,Kentucky,Russell,5809
