GISJOIN,YEAR,STATE,STATEA,AREANAME,AWM001,AWM002,AWM003,AWM004,AWM005,AWM006,AWM007,AWM008,AWM009,AWM010,AWM011,AWM012,AWM013,AWM014,AWM015,AWM016,AWM017,AWM018,AWM019,AWM020,AWM021,AWM022,AWM023,AWM024,AWM025,AWM026,AWM027,AWM028,AWM029,AWM030,AWM031,AWM032,AWM033,AWM034,AWM035,AWM036,AWM037,AWM038,AWM039,AWM040,AWM041,AWM042,AWM043,AWM044,AWM045,AWM046,AWM047,AWM048,AWM049,AWM050,AWM051,AWM052,AWM053,AWM054,AWM055,AWM056,AWM057,AWM058,AWM059,AWM060,AWM061,AWM062,AWM063,AWM064,AWM065,AWM066,AWM067,AWM068,AWM069,AWM070,AWM071,AWM072,AWM073,AWM074,AWM075,AWM076,AWM077,AWM078,AWM079,AWM080,AWM081,AWM082,AWM083,AWM084,AWM085,AWM086,AWM087,AWM088,AWM089,AWM090,AWM091,AWM092,AWM093,AWM094,AWM095,AWM096,AWM097,AWM098,AWM099,AWM100,AWM101,AWM102,AWM103,AWM104,AWM105,AWM106,AWM107,AWM108,AWN001,AWN002,AWN003,AWN004,AWN005,AWN006,AWN007,AWN008,AWN009,AWN010,AWN011,AWN012,AWN013,AWN014,AWN015,AWN016,AWN017,AWN018,AWN019,AWN020,AWN021,AWN022,AWN023,AWN024,AWN025,AWN026,AWN027,AWN028,AWN029,AWN030,AWN031,AWN032,AWN033,AWN034,AWN035,AWN036,AWN037,AWN038,AWN039,AWN040,AWN041,AWN042,AWN043,AWN044,AWN045,AWN046,AWN047,AWN048,AWN049,AWN050,AWN051,AWN052,AWN053,AWN054
"G380","1890","North Dakota","380","North Dakota",838,271,788,483,43,233,4856,319,2433,25,123,24,205,151,33,8,17,5,2415,1097,2230,2339,3000,3297,1572,609,8687,70,96,129,243,78,21,28,18,44,3,0,15,42,4,18,9,2,7,1,3,6,13,54,0,365,4,54,121,74,177,400,45,61,1920,112,649,11,49,6,47,16,9,7,6,1,753,287,1443,1631,6864,9724,2983,234,34849,203,86,68,37,23,2,4,31,14,6,2,11,41,9,18,8,1,2,3,1,2,3,34,0,125,6,128,0,0,0,1,0,1,9,1,8,0,5,2,25,2,4,4,5,0,24,0,11,3,5,31,4,22,247,0,0,0,27,12,5,7,1,3,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,7,0,0
"G390","1890","Ohio","390","Ohio",1837,1877,4280,7205,587,5500,40305,6557,96689,981,12326,428,28410,14250,1198,359,675,95,2016098,26044,9428,11593,2056,618,3626,3198,78,60,507,2096,19699,2037,398,447,435,334,152,5,258,28,20,173,80,11,19,27,28,59,77,436,4,10696,7,126,265,127,431,1830,154,784,16622,1529,23554,165,2386,194,2184,2823,89,83,158,33,705347,8679,3114,5306,1229,308,787,1286,20,28,109,356,6632,714,175,172,556,156,60,2,104,6,12,56,30,7,26,3,10,21,11,220,1,2673,72,36,9,3,9,143,4,48,283,35,1081,31,777,182,11116,1646,1986,400,474,45,50568,802,154,317,23,27,20,205,1,0,5,23,12435,1708,452,446,243,66,189,0,84,1,0,0,1,0,0,0,2,7,5,16,0,670,1,28
"G405","1890","Oklahoma Territory","405","Oklahoma Territory",75,25,122,82,15,49,991,99,1198,15,108,3,769,244,405,86,476,16,3344,3844,4794,569,398,165,2644,6889,35,18,494,8608,2438,1833,444,454,143,5057,990,1130,1441,24,5,125,56,5,2,5,29,14,28,89,0,661,0,1,8,3,6,28,2,7,329,28,185,4,31,4,27,11,3,3,7,5,370,231,515,124,193,61,365,378,20,5,173,841,86,31,14,14,17,168,44,104,31,1,0,28,9,0,1,1,1,2,4,19,0,20,1,0,0,0,0,1,1,0,4,0,22,2,14,0,121,2,87,43,68,6,20,15,38,3,1,0,4,154,0,0,5,599,371,643,80,232,134,156,11,37,66,0,0,1,0,0,0,0,1,0,0,1,0,33,0,1
"G410","1890","Oregon","410","Oregon",1708,426,907,1372,141,502,6959,586,5200,88,553,207,2200,460,1109,130,363,32,9842,7549,11548,2853,2873,1859,10363,13970,198,177,1931,4829,3145,3219,253,271,196,1031,72,0,1509,251,101,483,41,30,240,369,540,2507,87783,7007,5,3877,4,100,220,36,105,468,53,106,2460,210,1375,25,152,86,137,42,36,14,25,11,1677,766,2465,1204,2643,1617,2111,1297,245,191,730,1087,224,99,19,49,98,123,4,3,61,72,32,178,13,16,236,209,155,672,22653,3163,11,223,8,52,1,1,0,11,2,3,31,2,24,4,22,7,47,2,22,21,32,4,32,7,30,10,3,6,4,62,0,0,1,14,30,33,18,6,15,10,1,0,4,3,0,2,0,1,5,21,21,43,1414,160,1,318,0,3
"G420","1890","Pennsylvania","420","Pennsylvania",2608,1234,2243,6162,964,3694,68829,32824,3007666,11988,25882,1285,9969,7456,842,519,431,137,23357,2412,3195,2007,1030,445,1615,1187,68,23,296,850,1387,851,225,210,351,280,29,3,135,39,18,185,36,7,28,30,5,116,47,361,7,12320,13,187,631,213,466,3249,565,1312,27345,8825,985051,2552,6931,600,1852,1675,264,222,182,62,10142,881,1698,963,624,277,507,704,26,5,74,277,808,273,80,63,239,159,11,5,49,15,14,91,31,5,11,25,3,59,18,315,3,5978,89,61,13,5,23,197,52,128,891,1786,58681,4851,12202,1131,19873,838,1362,553,321,93,741,43,45,114,88,35,12,168,31,96,93,18,255,232,111,71,116,31,137,5,34,137,1,4,55,49,2,1,1,53,2,20,2,1804,6,13
"G440","1890","Rhode Island","440","Rhode Island",3006,1482,1085,15281,102826,6148,3822,515,812,27,183,63,184,18,61,43,72,41,256,53,173,74,93,34,69,38,2,2,13,33,45,22,18,9,26,15,1,0,3,0,1,11,0,3,2,1,2,5,3,61,1,781,4,27,690,567,981,9973,72759,2879,3725,557,721,10,87,39,47,29,10,14,34,13,161,36,137,100,120,53,23,30,9,1,6,12,20,11,6,4,14,14,0,0,4,0,0,11,48,0,4,1,0,1,2,43,0,243,15,18,20,7,7,320,3523,254,317,92,175,61,698,183,1226,5,158,93,44,37,11,1,9,0,0,0,2,4,0,1,0,0,9,9,13,4,10,8,0,0,0,0,0,1,0,0,0,0,0,14,0,3,0,47,2,1
"G450","1890","South Carolina","450","South Carolina",112,44,39,248,56,139,470,122,229,25,225,30,836,19,10696,426110,3497,198,121,44,42,30,7,1,22,30,0,3,3,5,137,423,534,223,61,98,3,0,73,3,5,2,0,1,0,0,0,2,0,3,0,222,0,2,15,2,5,42,5,18,336,44,90,1,47,5,56,0,173,9484,186,17,25,3,9,6,3,2,2,4,0,1,0,1,11,24,17,8,11,6,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,4,2,0,7,2,0,19,4,9,31,5,39,4,142,20,1802,8,5455,677175,3112,163,18,6,6,1,0,2,0,16,0,0,0,2,33,107,223,130,29,19,2,0,3,0,0,0,3,1,0,0,0,0,0,3,0,409,2,2
"G460","1890","South Dakota","460","South Dakota",1537,760,2088,1106,122,511,13069,539,5912,52,299,50,770,250,142,18,62,7,7488,3981,10764,4176,12281,6377,14741,2252,43,32386,1514,821,698,294,52,66,34,169,9,0,86,41,39,183,20,39,29,26,11,21,52,81,0,1137,0,27,214,53,330,485,61,174,4084,240,1516,25,149,31,78,35,11,18,17,4,1487,878,7074,2897,15847,8956,11367,620,69,50159,853,309,152,65,14,16,50,64,4,1,30,36,77,101,6,6,22,19,8,18,14,99,0,364,3,5,1,0,0,6,0,0,15,0,7,0,9,4,24,4,5,7,16,0,19,8,13,5,18,100,20,97,4,701,17,11,27,37,38,16,6,19,1,0,1,2,3,3,0,0,0,0,1,1,0,1,0,39,0,0
"G470","1890","Tennessee","470","Tennessee",315,185,257,612,88,297,2759,341,3136,64,715,83,19021,366,24706,4717,12883,264,7786,4931,3714,1318,569,309,649,3125,44,20,106,415,20636,1132256,13924,10741,901,1666,38,1,3323,23,6,54,14,5,8,4,3,15,32,144,2,5885,1,4,50,21,39,143,20,61,1152,74,1073,18,189,30,514,28,313,208,306,41,2007,785,614,424,248,111,165,471,23,19,27,40,1001,21483,395,480,309,69,3,1,133,5,1,9,2,0,3,3,1,5,3,21,0,113,0,3,2,0,5,24,4,6,38,5,110,11,454,59,10408,45,7614,3471,9896,122,271,135,209,21,21,14,19,781,4,0,2,29,5890,363058,7726,13638,691,299,23,2,1351,1,1,7,3,0,2,2,0,2,2,13,0,4259,0,1
"G480","1890","Texas","480","Texas",673,302,533,1064,142,492,5545,717,4558,194,1598,179,15122,1060,17023,14140,53986,2585,8336,10279,19554,1872,1042,509,3238,41221,51,48,542,3368,39579,96095,81997,58976,24862,835280,1278,8,42435,67,27,316,371,51,59,40,49,69,158,1107,15,15994,8,66,111,39,84,490,33,140,3158,290,1737,26,317,66,552,81,302,454,611,125,1811,995,2786,742,750,240,678,2593,21,16,101,540,1030,1253,1147,1006,3525,154628,85,2,583,24,18,88,260,29,11,16,3,9,12,276,1,1643,13,35,11,10,5,38,9,9,80,15,142,18,951,117,9379,58,7512,5858,12142,615,244,155,250,27,19,14,51,2871,0,0,24,136,4046,9330,17619,10291,10511,380335,517,0,4687,5,1,9,20,1,8,0,5,4,7,30,1,9901,2,11
