GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADT001,ADU001,ADV001,ADV002,ADW001,ADX001,ADY001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD2001,AD2002,AD2003,AD2004,AD2005,AD2006,AD2007,AD2008,AD2009,AD2010,AD2011,AD2012,AD3001,AD3002,AD3003,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AD7001,AD8001,AD8002,AD8003,AD8004,AEA001,AEA002,AEB001,AEB002,AEC001,AED001,AED002,AEE001,AEF001,AEF002,AEG001,AEG002,AEG003,AEG004,AEH001,AEH002,AEH003,AEH004,AEH005,AEI001,AEI002,AEI003,AEI004,AEI005,AEJ001,AEK001,AEM001,AEM002,AEN001,AEO001,AEP001,AEQ001,AER001,AES001,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AEU001,AEU002,AEU003,AEU004,AEU005,AEU006,AEU007,AEU008,AEU009,AEU010,AEU011,AEU012,AEU013,AEU014,AEU015,AEU016,AEU017,AEU018,AEU019,AEU020,AEU021,AEU022,AEU023,AEV001,AEV002,AEV003,AEV004,AEV005,AEV006,AEV007,AEV008,AEV009,AEV010,AEV011,AEV012,AEV013,AEV014,AEV015,AEV016,AEV017,AEV018,AEV019,AEV020,AEV021,AEV022,AEV023,AEX001,AEY001,AEZ001,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE3001,AE4001,AE5001
"G413","1850","Oregon Territory","413",,"Oregon Territory",13294,0,0,161,902,907,717,677,2375,1343,583,307,108,16,3,1,0,38,149,835,934,692,525,802,546,274,119,40,5,0,1,0,27,0,23,13,9,11,38,20,4,2,0,0,0,0,0,0,0,18,19,11,10,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8138,4949,120,87,0,0,13087,207,0,,,310,,168,,,47,2374,2374,0,3,29,0,0,4,89,44,842,0,0,0,0,0,2527,0,1400,0,0,0,20888,0,3927,20888,1016,859,2,0,1875,2,1852,25,1877,86,71,3,2,157,5,99,63,162,132857,299951,2849170,183423,1876189,164530,1271,90241,0,,,,,,,,,,,,,9671,1022,24815,4452,1164,843600,317,2236640,1,,1,,,,,,,,,,1,,1,,5,,,,,,,100,,500,,,,,,,,,,500,,200,,1833,,,,,,,2000,,6200,,,,,,,,,,22000,,5000,,41320,,,,,,,9,3133,76520,161,925,920,726,688,2413,1363,587,309,108,16,3,1,0,38,149,853,953,703,535,817,555,279,119,40,5,0,1,0,27,8258,5036,310,1778,1873,1429,1223,3230,1918,866,428,148,21,3,2,0,65,13087,,
"G420","1850","Pennsylvania","420",,"Pennsylvania",2311786,544654,386646,31929,139268,157099,138633,116773,209438,144039,97558,58632,31814,13188,3344,335,20,664,31017,135990,154424,133258,124483,206801,133072,89451,55919,32224,13869,4035,406,31,446,637,2897,3286,2900,2397,4607,3480,2471,1467,744,297,120,22,9,35,748,2911,3417,3121,2975,5787,3792,2589,1513,790,357,152,60,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142734,1115426,25369,28257,0,0,2258160,53626,0,,,64331,,19858,,,28551,386216,408497,22,9061,524,125,3286,10024,413706,914,23751,94300,38,7,187860,21425,1119871,184167,29118,73459,375,3552,390457,282205,1348249,467843,263451,234660,3385,3114,498111,6499,488823,15787,504610,24380,42548,4115,5229,66928,9344,51283,24989,76272,8628620,6294728,407876096,14722542,41500052,8219848,723389,688714,749132,90,30,226,21,26,184666,17161,58071,77050,26452,393,363400,181129,303417,2102897,824670,127577,94473808,146766,155044912,321,21,,10,7,136,28,142,212,8,498,91,907,86,778,,140,3,15,78,4,22,89,128458,6900,,3100,4640,67574,7950,61274,105793,3425,261502,23580,341858,33015,360000,,89501,1475,6250,27700,1630,9783,30837,811395,24400,,17250,79500,1483700,15450,662287,648110,45700,1642656,82400,1726038,221350,2585250,,1084204,11700,11700,77925,28000,86800,240500,3596,1576245,11586316,32566,142165,160385,141533,119170,214045,147519,100029,60099,32558,13485,3464,357,29,699,31765,138901,157841,136379,127458,212588,136864,92040,57432,33014,14226,4187,466,46,476,1168103,1143683,64331,281066,318226,277912,246628,426633,284383,192069,117531,65572,27711,7651,823,75,1175,2258160,,
"G440","1850","Rhode Island","440",,"Rhode Island",147545,82084,41513,1740,6939,7589,7365,7172,14652,10335,6636,4047,2443,1050,319,38,0,15,1804,6844,7611,7378,7828,15192,10191,7005,4665,2967,1510,489,48,3,0,37,164,197,159,153,363,287,180,83,58,40,15,1,0,1,29,159,194,184,163,369,309,206,128,106,51,26,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70340,73535,1738,1932,0,0,143875,3670,0,,,3610,,1327,,,2241,22379,28216,1,416,46,11,150,518,23130,75,1601,3500,0,0,0,660,62296,31434,6091,6500,0,0,26248,3500,100481,32748,14782,13577,304,247,28359,551,27712,1198,28910,1330,2010,130,137,3340,267,1248,2359,3607,356487,197451,17070802,497201,1532637,667486,63994,98298,26495,26,12,50,1,7,42007,5814,23765,31000,1756,96,104342,22304,23902,156229,44943,5385,12923176,20881,22093258,106,8,21,,,26,2,18,,1,,,23,,,,7,2,,4,4,4,5,42105,3000,11703,,,11606,611,6370,,300,,,9310,,,,7300,325,,2450,2950,2230,1780,367800,24300,178550,,,248500,5000,57800,,1000,,,102900,,,,72500,4400,,5000,127000,55000,4650,231,102040,1254400,1777,7103,7786,7524,7325,15015,10622,6816,4130,2501,1090,334,39,0,16,1833,7003,7805,7562,7991,15561,10500,7211,4793,3073,1561,515,55,3,1,72078,75467,3610,14106,15591,15086,15316,30576,21122,14027,8923,5574,2651,849,94,3,17,143875,,
"G450","1850","South Carolina","450",,"South Carolina",668507,49045,42985,3313,17973,20589,18842,14732,23474,15534,10573,6895,3659,1547,494,78,5,39,3139,17084,19988,18132,15530,23833,15273,10603,6778,3809,1825,623,133,24,42,77,571,695,653,395,606,474,283,188,105,47,25,8,3,1,78,541,712,634,495,812,635,356,281,151,73,41,13,7,0,4450,27019,27069,24890,20521,31745,20583,13138,8771,5426,2008,613,154,81,1288,4744,28229,28131,24825,21875,33472,22938,14513,8750,5502,2022,638,200,86,1303,137747,136816,4131,4829,187756,197228,274563,8960,384984,6607,9194,15801,2005,,2879,5167,8046,52642,52937,8,724,202,43,720,739,17838,333,7467,9650,0,41700,53440,3000,1200,35973,160427,8700,0,226,196563,104790,200600,205489,21738,18555,54,26,40293,80,40073,300,40373,5897,9787,421,459,15684,880,16460,104,16564,4072651,12145050,82431680,4136354,15060016,3502637,35108,47286,909525,16,3,0,7,0,73758,2750,0,30964,0,26,107472,12743,8707,510879,107813,29967,6056865,7009,7063513,413,,1,,,72,5,1,,3,41,,484,,136,,14,,,,1,3,8,165805,,2000,,,28940,1550,500,,2400,14750,,165740,,67765,,6030,,,,700,950,3320,293863,,70000,,,616950,1700,500,,83700,109500,,341168,,483175,,78315,,,,30000,6000,57375,1182,460450,2172246,7840,45563,48353,44385,35648,55825,36591,23994,15854,9190,3602,1132,240,89,1328,7961,45854,48831,43591,37900,58117,38846,25472,15809,9462,3920,1302,346,117,1345,329634,338873,15801,91417,97184,87976,73548,113942,75437,49466,31663,18652,7522,2434,586,206,2673,274563,,
"G470","1850","Tennessee","470",,"Tennessee",1002717,21983,0,11679,52801,60471,54444,43870,64089,38947,25541,16269,8567,4006,1231,180,28,112,11247,50780,58416,51825,45094,64537,38361,25860,14950,8234,3797,1168,196,34,102,81,418,483,440,307,455,249,236,205,123,72,29,11,7,1,83,423,504,407,364,497,339,277,173,144,56,28,5,1,4,3452,17620,18647,17889,14004,21709,11370,6550,4421,2050,719,233,82,31,3,3609,18075,19087,17252,14621,21064,11984,7115,4468,2137,833,287,98,47,2,382235,374601,3117,3305,118780,120679,756836,6422,239459,23090,7061,30151,7872,,7825,4049,11874,129419,130004,17,2667,264,79,1605,2804,103651,406,9677,9300,0,482,53725,8912,4500,97738,84293,6183,230,10058,140371,63507,195443,156842,78943,67187,40,30,146130,70,146033,167,146200,28469,49053,506,591,77522,1097,78114,505,78619,5175173,13808850,97851216,5360210,29978016,6401765,52894,97183,3137790,9,2,18,5,0,5373,5100,2498,9925,0,34,22896,170184,5653,415792,314120,72735,6975279,12032,9728438,648,63,,,,17,30,4,,,12,,867,,363,,4,,1,15,,,3,197315,18350,,,,7810,7250,1600,,,3400,,249853,,135517,,1400,,500,3900,,,1600,271899,48295,,,,85300,6665,1300,,,2600,,381711,,367081,,45000,,300,3800,,,2150,2027,628495,1216101,15212,70839,79601,72773,58181,86253,50566,32327,20895,10740,4797,1493,273,66,116,14939,69278,78007,69484,60079,86098,50684,33252,19591,10515,4686,1483,299,82,108,504132,498585,30151,140117,157608,142257,118260,172351,101250,65579,40486,21255,9483,2976,572,148,224,756836,,
"G480","1850","Texas","480",,"Texas",212592,7665,0,2437,11133,12277,10346,7836,16454,12117,6939,3452,1242,365,81,9,11,170,2326,10638,11347,9456,8073,12311,7353,4366,2117,840,231,63,13,12,19,0,27,38,25,18,40,23,17,14,2,3,1,3,0,0,2,24,27,19,24,34,23,19,9,2,1,2,0,0,0,705,4406,4356,4152,3175,5585,3131,1750,898,373,100,40,12,6,11,724,4366,4504,4091,3442,5683,3449,1878,829,332,93,34,12,10,14,84869,69165,211,186,28700,29461,154034,397,58161,4765,1429,6194,2232,,2219,877,3096,27988,28377,2,349,97,7,165,360,7946,137,3389,0,0,0,1000,0,0,0,44088,0,0,0,39384,1000,44088,39384,10570,8799,11,9,19369,20,18788,601,19389,4988,5537,34,24,10525,58,8095,2488,10583,643976,10852364,16550008,2151704,10412928,1116137,12505,12354,266984,3,3,5,1,0,2100,430,1600,100,0,12,4230,92828,17681,84472,59335,12198,539290,1066,1165538,82,5,,,,5,7,,,,,,173,,46,,13,,,2,,,6,10680,100,,,,1025,1600,,,,,,34085,,8520,,6760,,,350,,,1695,23090,150,,,,15100,7100,,,,,,58195,,20070,,79700,,,525,,,3000,339,64815,206930,3142,15566,16671,14523,11029,22079,15271,8706,4364,1617,468,122,24,17,181,3052,15028,15878,13566,11539,18028,10825,6263,2955,1174,325,99,25,22,33,113780,98812,6194,30594,32549,28089,22568,40107,26096,14969,7319,2791,793,221,49,39,214,154034,,
"G495","1850","Utah Territory","495",,"Utah Territory",11380,0,0,220,871,696,683,659,1264,761,513,221,100,31,1,0,0,0,212,863,668,685,666,891,598,404,204,94,22,3,0,0,0,0,4,1,1,3,2,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,3,1,3,2,4,0,0,1,0,0,0,0,0,0,6020,5310,14,10,12,14,11330,24,26,432,,432,,404,,,239,2322,2322,1,13,13,0,0,0,0,0,0,0,0,0,0,0,8200,0,3312,0,0,0,2050,0,11512,2050,1113,922,0,0,2035,0,1969,66,2035,88,65,1,0,153,1,121,33,154,16333,30516,311799,84288,546968,67985,0,23868,1392,,,,,,,,,,,,,8137,2044,13562,4057,926,44400,51,291220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4200,51000,220,877,699,685,663,1268,764,514,224,100,31,1,0,0,0,212,867,670,689,670,897,600,405,205,94,22,3,0,0,0,6046,5334,432,1744,1369,1374,1333,2165,1364,919,429,194,53,4,0,0,0,11330,,
"G500","1850","Vermont","500",,"Vermont",314120,6110,0,3345,15623,19437,18485,17480,27451,19766,15860,10679,6639,3521,1226,116,4,26,3226,15366,18640,17609,16778,25661,19262,15212,10397,6720,3554,1165,139,4,11,15,41,42,44,28,66,57,33,26,9,8,4,1,1,0,8,25,34,30,40,75,32,37,27,15,10,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159658,153744,375,343,0,0,313402,718,0,,,6594,,2653,,,3129,56421,58573,5,2731,118,30,464,4173,93457,257,6864,4700,0,0,16858,6737,91984,56693,20697,3727,5865,1989,37354,21558,176111,48935,47997,44155,58,32,92152,90,88746,3496,92242,3601,2588,32,19,6189,51,616,5624,6240,2601409,1524413,63367228,2739282,12643228,1861336,315255,18853,267710,30,16,38,9,3,21061,9700,10020,23280,580,96,64641,51114,33715,246604,108429,29763,5001377,8445,8570920,102,9,175,,,26,1,7,,,,,140,,11,,8,,,76,2,38,4,35627,2770,78302,,,10525,100,2550,,,,,48560,,4160,,4305,,,31010,1000,14775,850,159475,12350,454667,,,81500,300,5500,,,,,227783,,17500,,42200,,,107950,32000,74100,800,599,234534,1216125,3360,15664,19479,18529,17508,27517,19823,15893,10705,6648,3529,1230,117,5,26,3234,15391,18674,17639,16818,25736,19294,15249,10424,6735,3564,1170,142,5,12,160033,154087,6594,31055,38153,36168,34326,53253,39117,31142,21129,13383,7093,2400,259,10,38,313402,,
"G510","1850","Virginia","510",,"Virginia",1421661,100690,27570,12026,57266,66363,59955,47638,77492,51451,36105,22631,12724,5548,1689,228,28,156,11715,55100,63809,57485,50015,77559,49907,34756,22258,12711,5914,1819,289,35,128,695,3403,3924,3633,2637,4298,2787,2014,1259,794,349,137,51,20,1,717,3288,3911,3609,2978,5159,3344,2272,1461,869,432,182,64,35,10,5341,32419,35356,33883,25584,39991,25435,18416,12138,7614,3028,958,263,87,49,5814,32687,34897,32331,24659,36974,24240,17514,10850,6981,3264,1196,334,184,41,451300,443500,26002,28331,240562,231966,894800,54333,472528,25153,11155,36308,8163,,10608,8451,19059,165815,167530,12,2937,317,73,1343,3005,67438,547,9068,30550,0,90000,39240,12235,43470,60828,198092,6740,0,504,227128,159790,314625,234372,59204,50507,37,27,109711,64,109564,211,109775,30244,46761,5141,6374,77005,11515,87383,1137,88520,10360136,15792176,216401536,7021772,33656660,7502986,177137,183047,2156312,21,6,11,14,2,32595,2706,1975,50856,330,54,88462,58066,22985,708787,345265,77013,18109992,29109,29705388,650,16,,,,173,108,15,9,1,50,6,1026,8,240,,17,1,8,52,,1,5,247589,4900,,,,80684,36025,6450,3800,600,18750,2250,324208,1500,103625,,7930,100,4400,13250,,200,1825,688818,7595,,,,529450,61900,18825,16200,4000,52445,5550,725003,2550,571165,,126100,500,8200,24025,,500,13550,2386,858086,2856376,18062,93088,105643,97471,75859,121781,79673,56535,36028,21132,8925,2784,542,135,206,18246,91075,102617,93425,77652,119692,77491,54542,34569,20561,9610,3197,687,254,179,717864,703797,36308,184163,208260,190896,153511,241473,157164,111077,70597,41693,18535,5981,1229,389,385,894800,,
"G550","1850","Wisconsin","550",,"Wisconsin",305391,28623,0,5279,20845,21765,17571,14522,31922,26086,14345,7634,3201,886,177,5,1,112,5124,20045,20432,16375,14217,26366,18638,10428,5567,2339,653,127,13,1,80,15,26,50,25,27,81,86,26,15,8,3,3,0,0,0,6,32,32,37,27,56,46,17,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164351,140405,365,270,0,0,304756,635,0,,,10424,,3015,,,2903,56316,57608,2,1423,58,8,75,1529,58817,86,2723,0,0,0,4300,385,86391,21993,4364,0,0,0,18796,4300,113133,18796,29096,27258,32,35,56354,67,45508,10913,56421,2930,3431,55,37,6361,92,1551,4902,6453,1045499,1931159,28528564,1641568,4897385,920178,4823,32142,43624,9,33,28,2,0,12040,2163,5017,1800,0,72,21020,139620,110477,136229,104882,20177,3382148,6089,9293068,49,4,37,,2,19,2,,,,20,,110,,40,,64,,,1,,6,11,16814,875,11063,,550,5140,275,,,,5300,,21270,,8533,,24967,,,400,,665,1921,52500,1200,61260,,750,45750,250,,,,14650,,64130,,35800,,66685,,,800,,3000,7125,365,97773,353900,5294,20871,21815,17596,14549,32003,26172,14371,7649,3209,889,180,5,1,112,5130,20077,20464,16412,14244,26422,18684,10445,5580,2341,654,127,14,1,80,164716,140675,10424,40948,42279,34008,28793,58425,44856,24816,13229,5550,1543,307,19,2,192,304756,,
